mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
54.34129838943481,0.3210756383788348,0.6398439407348633,0.022571365900814384,0.6,0.5,3,1,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.6}",0.7929295070153872,0.7901318299351447,0.7921241151286508,0.7905133313551779,0.7904620601949979,0.7912321687258717,0.0010951771933066475,372
50.44420466423035,0.6066590879512687,0.6698266983032226,0.04186375868152216,0.6,0.5,3,1,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 0.8}",0.7924632275020135,0.7902589970751558,0.7919545589419694,0.7908524437285406,0.7904620601949979,0.7911982574885353,0.0008620817547333802,377
43.11908111572266,0.4044472234870212,0.6263569831848145,0.022860784268106657,0.6,0.5,3,1,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 1, 'subsample': 1.0}",0.7932262303420796,0.789792717561782,0.7915730575219363,0.7905981094485185,0.7907164052564646,0.7911813040261562,0.0011678710193768812,380
52.642084217071535,0.27857608834294617,0.6353094577789307,0.02895135476561789,0.6,0.5,3,5,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.6}",0.7922512822686618,0.7902166080284855,0.7919545589419694,0.7904285532618371,0.7906740144128869,0.7911050033827682,0.0008328604320284816,395
49.50126762390137,0.724579398250548,0.6381501197814942,0.044751698219897544,0.6,0.5,3,5,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 0.8}",0.7924208384553432,0.7900894408884744,0.791657835615277,0.7907676656351998,0.7903772785078423,0.7910626118204275,0.0008605588442479805,400
42.219972944259645,0.5347796683009524,0.6045530796051025,0.010139662484698537,0.6,0.5,3,5,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 5, 'subsample': 1.0}",0.7924632275020135,0.7900046627951337,0.7916154465686067,0.7905981094485185,0.790631623569309,0.7910626139767162,0.0008704159939370382,399
51.02648797035217,0.6282517553742799,0.6572367191314697,0.05669642448750052,0.6,0.5,3,10,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.6}",0.7930566741553983,0.7904709423085075,0.7916154465686067,0.7906404984951888,0.7905892327257312,0.7912745588506865,0.000980779626046611,369
47.277566480636594,0.5692506334747863,0.6289604663848877,0.02797350204077805,0.6,0.5,3,10,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 0.8}",0.7923360603620024,0.7902166080284855,0.7921665041753211,0.7910219999152219,0.7909707503179313,0.7913423845597924,0.0007968307058890963,363
42.886752700805665,0.3285251048848257,0.6168006420135498,0.008737864805583025,0.6,0.5,3,10,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 3, 'min_child_weight': 10, 'subsample': 1.0}",0.7933110084354202,0.7898774956551227,0.7917426137086176,0.7900894408884744,0.790631623569309,0.7911304364513888,0.0012674385084961845,390
64.4853374004364,0.7052319788226321,0.8149610996246338,0.003969467428874579,0.6,0.5,4,1,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.6}",0.7967869102623882,0.7942859565088382,0.7946674579288712,0.7951337374422449,0.7942348452734209,0.7950217814831527,0.0009396239584208691,245
60.078124380111696,0.6015653225876598,0.8220703601837158,0.007279930553656446,0.6,0.5,4,1,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 0.8}",0.797253189775762,0.7942435674621677,0.7951337374422449,0.7958119621889703,0.7950826621449767,0.7955050238028243,0.0010057644329346516,177
52.68777980804443,0.6350852429297228,0.8051797389984131,0.009680296223176111,0.6,0.5,4,1,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 1, 'subsample': 1.0}",0.7974227459624433,0.7941164003221568,0.7954304607689373,0.7947098469755415,0.7951250529885545,0.7953609014035267,0.0011210995294821389,200
62.62009153366089,0.34690601524773246,0.8033846378326416,0.006777320469002531,0.6,0.5,4,5,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.6}",0.7963206307490145,0.7945402907888601,0.7947522360222119,0.7948794031622228,0.7945739720220433,0.7950133065488705,0.0006651230317480119,246
58.860615730285645,0.5916855095396708,0.7978583812713623,0.005281636722769837,0.6,0.5,4,5,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 0.8}",0.7977194692891357,0.7938196769954644,0.7949641812555636,0.7945826798355305,0.7951674438321322,0.7952506902415653,0.0013174159679124075,215
51.739153718948366,0.6631495447237682,0.7995728015899658,0.009290145720675835,0.6,0.5,4,5,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 1.0}",0.7971684116824213,0.7938620660421347,0.7950489593489043,0.7949641812555636,0.7951674438321322,0.7952422124322311,0.0010710075669671411,217
