mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10879464149475097,0.010390218860380314,0.006298208236694336,0.0005578415506402623,gini,3,9,1,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 9, 'min_samples_leaf': 1}",0.7129837649951253,0.5656394387690221,0.7429104319443856,0.5580941884617014,0.5504451038575667,0.6260145856055602,0.08390156414553661,250
0.11738653182983398,0.011889663645395083,0.008977270126342774,0.0016983037514934247,gini,3,9,2,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 9, 'min_samples_leaf': 2}",0.7095078631681574,0.5585180789284049,0.7450722733245729,0.7366368530371752,0.5391267486222976,0.6577723634161216,0.08993957841437657,241
0.1240224838256836,0.014534495897677127,0.007770109176635742,0.0013376970524583344,gini,3,9,3,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 9, 'min_samples_leaf': 3}",0.6352846424483913,0.5552541223347887,0.7250646432961723,0.6718663897248951,0.5503603221704112,0.6275660239949317,0.0674059518977513,249
0.11300477981567383,0.009530690233999939,0.007923698425292969,0.000765572186690817,gini,3,9,4,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 9, 'min_samples_leaf': 4}",0.7064558518078928,0.5389343393667076,0.7195964562756983,0.551184773854436,0.602585841458245,0.623751452552596,0.07607119170136373,252
0.10607590675354003,0.013511809866201745,0.007581853866577148,0.0006298833789460183,gini,3,9,5,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 9, 'min_samples_leaf': 5}",0.6725022254249502,0.540587512186851,0.7137891568818617,0.7009876647874189,0.6320474777448071,0.6519828074051779,0.06236806324394527,245
0.10740389823913574,0.006509923475119393,0.007911491394042968,0.0011425453883833247,gini,3,9,7,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 9, 'min_samples_leaf': 7}",0.7304904412699759,0.7075155779746514,0.7390106396507142,0.7263787037429528,0.7069097075031793,0.7220610140282947,0.012791554215525759,189
0.12062959671020508,0.017262054742445937,0.007611608505249024,0.0005807870831979992,gini,3,9,8,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 9, 'min_samples_leaf': 8}",0.6225255394006188,0.6817006485524141,0.7277351532364037,0.7478699504048154,0.6208562950402713,0.6801375173269046,0.05232411323745704,224
0.10528740882873536,0.014011575187885502,0.008613967895507812,0.0003755282775666121,gini,3,9,9,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 9, 'min_samples_leaf': 9}",0.7526175236318935,0.5525836123945572,0.7065830189479039,0.6262557755076088,0.7335735481136074,0.6743226957191142,0.07458190835519615,232
0.13290114402770997,0.011171128556100396,0.007111406326293946,0.00022501695404797054,gini,3,11,1,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 11, 'min_samples_leaf': 1}",0.7128565978551142,0.7104828112415752,0.551184773854436,0.6989529905472426,0.7149639677829589,0.6776882282562653,0.06349345437377149,227
0.11595487594604492,0.009836796646944278,0.0068395137786865234,0.0008325251647219903,gini,3,11,2,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 11, 'min_samples_leaf': 2}",0.613454283413166,0.7037005637743207,0.6995888262472977,0.5512695519477767,0.5509537939805003,0.6237934038726123,0.06753120098982342,251
0.11756696701049804,0.009719326000417342,0.008281135559082031,0.0011604658338048668,gini,3,11,3,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 11, 'min_samples_leaf': 3}",0.5389343393667076,0.5505489381543809,0.553049891907931,0.7376541901572634,0.5393810936837643,0.5839136906540094,0.07708205524640703,256
0.12895894050598145,0.0165673728462585,0.0067141056060791016,0.0007282537082266779,gini,3,11,4,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 11, 'min_samples_leaf': 4}",0.7196812343690391,0.7412148700775719,0.739604086304099,0.7081090246280362,0.7105977108944468,0.7238413852546386,0.014074868781644696,185
0.12387628555297851,0.007935953233804582,0.007491064071655273,0.0009111843239309021,gini,3,11,5,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 11, 'min_samples_leaf': 5}",0.5438090797337968,0.7128142088084439,0.5519053876478318,0.7190030096223136,0.7559135226791013,0.6566890416982974,0.09011111205257857,244
0.12517528533935546,0.009138907757738329,0.007720804214477539,0.0011637044679564785,gini,3,11,7,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 11, 'min_samples_leaf': 7}",0.7064558518078928,0.7124750964350812,0.679454029078886,0.5389343393667076,0.7416701992369649,0.6757979031851065,0.07123101580522515,230
0.1258692741394043,0.006302546378672739,0.006413030624389649,0.0005780171647630103,gini,3,11,8,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 11, 'min_samples_leaf': 8}",0.739222584884066,0.5705141791361112,0.7450722733245729,0.7049298461277606,0.5568885120813905,0.6633254791107802,0.08260338702169603,238
0.12083487510681153,0.010334255347327048,0.007946586608886719,0.0010574999310720928,gini,3,11,9,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 11, 'min_samples_leaf': 9}",0.6537662667966597,0.7532533593319486,0.5388919503200373,0.741342037217583,0.6249258160237389,0.6624358859379935,0.07901805597763203,239
0.13839616775512695,0.01925642965254837,0.007524728775024414,0.0005475954617322743,gini,3,12,1,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 12, 'min_samples_leaf': 1}",0.739222584884066,0.7147217159086092,0.7404094781908355,0.5797549913102454,0.7125052988554472,0.6973228138298406,0.05994576548389704,211
